"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0xd7df27bc5369db8ff0a4746f03e94ccc4709a0776b53c04e9098fcd1d3ea9f34","1575394753","12/3/2019 5:39:13 PM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0xc73e0383f3aff3215e6f04b0331d58cecf0ab849","10,523.93489766009190182","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
"0xd7df27bc5369db8ff0a4746f03e94ccc4709a0776b53c04e9098fcd1d3ea9f34","1575394753","12/3/2019 5:39:13 PM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0x493c57c4763932315a328269e1adad09653b9081","10,523.93489766009190182","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x41953878ada2d69b93996664864e23ebbab825915b78a3fcf416fc436a514217","1575407956","12/3/2019 9:19:16 PM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0x0000000000000000000000000000000000000000","2,026.070936763823634865","0x14094949152eddbfcd073717200da82fed8dc960","Fulcrum SAI iToken","iSAI"
"0x41953878ada2d69b93996664864e23ebbab825915b78a3fcf416fc436a514217","1575407956","12/3/2019 9:19:16 PM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0xc73e0383f3aff3215e6f04b0331d58cecf0ab849","2,092.50327934696569757","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
"0x41953878ada2d69b93996664864e23ebbab825915b78a3fcf416fc436a514217","1575407956","12/3/2019 9:19:16 PM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0x493c57c4763932315a328269e1adad09653b9081","2,092.50327934696569757","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x7931deb565547dac16f30d7d4fb16b42b9fee090817b73fdfa9002ec82c58e7d","1575425667","12/4/2019 2:14:27 AM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0x0000000000000000000000000000000000000000","4.599097947444693664","0x14094949152eddbfcd073717200da82fed8dc960","Fulcrum SAI iToken","iSAI"
"0x7931deb565547dac16f30d7d4fb16b42b9fee090817b73fdfa9002ec82c58e7d","1575425667","12/4/2019 2:14:27 AM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0xc73e0383f3aff3215e6f04b0331d58cecf0ab849","4.750002569649336411","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
"0x7931deb565547dac16f30d7d4fb16b42b9fee090817b73fdfa9002ec82c58e7d","1575425667","12/4/2019 2:14:27 AM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0x493c57c4763932315a328269e1adad09653b9081","4.750002569649336411","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x15c18c1977768588222ba3595c651fe14090eadf487dc3c7f4414d9ce42361d7","1575435887","12/4/2019 5:04:47 AM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0x0000000000000000000000000000000000000000","2,011.146817662046547584","0x14094949152eddbfcd073717200da82fed8dc960","Fulcrum SAI iToken","iSAI"
"0x15c18c1977768588222ba3595c651fe14090eadf487dc3c7f4414d9ce42361d7","1575435887","12/4/2019 5:04:47 AM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0xc73e0383f3aff3215e6f04b0331d58cecf0ab849","2,077.162813939404860733","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
